original,translation
Your Health Core drains over tirme and is now empty.While empty you will experience negative effects.,Sağlık Çekirdeğin zamanla azaldı ve şimdi boş. Boşken olumsuz etkiler yaşarsın.
a girl in V Valentine... got,Valentine'da bir kız...
dFire,dAteş
"doing nothing. 1,USEM",hiçbir şey yapmıyor.
"from over there, could you?","Şuradan, olur mu?"
get that fire lit quick.,Şu ateşi çabuk yak.
see if we can find anything out?,Bakalım bir şey öğrenebilecek miyiz?
"thank you, Well, Morgan. Mr. N","Teşekkürler, Morgan. Bay..."
the crack in her pants paid for it all.,Hepsini onun bacak arası ödedi.
"u,1 glad you're alright, Micah.","İyi olduğuna sevindim, Micah."
you know.,bilirsin işte.
